  630$	AMD Ryzen 7 3800X (100-100000025BOX) 3.9Ghz/AM4/36M/105W Boxed CPU w Wraith Prism Cooler
  630$	Gigabyte X570 AORUS MASTER AMD4 X570 4xDDR4/3x PCI-Ex16/WiFi/BT5.0/M.2/USB3.2/ATX Motherboard
  630$	Leadtek Nvidia Quadro P2000 (900-5G410-2200-000) 5GB DDR5 PCI-E VGA Card
  630$	QNAP (TS-451+-2G) 4 Bay+ NAS2GB RAM 2x Gigabit Ethernet, 2x USB3, 2x USB2, 1x HDMI
  630$	Synology DiskStation (DS418play) 4 Bay NAS, Celeron J3355 Dual Core CPU,2GB DDR3L,2x Gigabit LAN,
  624$	WD 3.5in Purple 12TB (WD121PURZ) Surveillance 7200RPM 256MB Cache SATA3 HDD
  620$	Asus WS X299 PRO Intel X299 S2066/8xDDR4/3xPCIEx16/USB3.1(Gen 2)/M.2/ATX Motherboard
  618$	HP Original (CF331A) # 654A Cyan Toner Cartridge - 15,000 pages
  618$	HP Original (CF332A) # 654A Yellow Toner Cartridge - 15,000 pages
  618$	HP Original (CF333A) # 654A Magenta Toner Cartridge - 15,000 pages
  615$	Samsung 860 PRO (MZ-76P2T0BW) 2TB SATA III SSD Solid State Drive
  615$	Samsung 970 EVO PLUS (MZ-V7S2T0BW) 2TB M.2 SSD Solid State Drive
  610$	Gigabyte Radeon (R57-8GD-B) 8GB RX 5700 PCI-E VGA Card
  603$	HP Original (CB385A) # 824A Cyan Drum - 35,000 pages
  603$	HP Original (CB386A) # 824A Yellow Drum - 35,000 pages
  603$	HP Original (CB387A) # 824A Magenta Drum - 35,000 pages
  600$	Asus Nvidia (TUF-RTX2060-O6G) 6GB RTX 2060 TUF OC PCI-E VGA Card
  600$	Asus ROG MAXIMUS XI Code Intel Z390 S1151 4xDDR4/3xPCIEx16/HDMI/M.2/WiFi/BT/ATX Motherboard
  600$	Asus ROG RAMPAGE VI APEX Intel X299 S2066/4xDDR4/4xPCIEx16/USB3.1/BT/WiFi/ATX Motherboard
  600$	D-link (DCS-2802KT) Wire-Free Camera Kit
  600$	MSI OPTIX (MAG271CQR) 27in curved WQHD 2560x1440 frameless 144hz 1ms DP/HDMI Gaming Monitor
  600$	MSI Radeon (RADEON RX VEGA 64 AIR BOOST 8G OC) 8GB RX VEGA 64 Air Boost OC PCI-E VGA Card
  600$	Philips VA 4K-UHD 32in (328P6VJEB) 3840x2160 4ms DP DVI HDMI D-SUB SPK USB VESA LCD Monitor
  590$	Fibaro Home Center Lite (FIB-FGHCL)
  590$	Intel (BX80684I79700K) CORE i7-9700K up to 4.9Ghz 12MB Cache LGA1151 Coffee Lake Boxed CPU
  590$	MSI (Radeon RX 5700 8G) 8GB RX 5700 PCI-E VGA Card
  590$	MSI MEG X570 ACE AM4 4xDDR/3xPCIEx16/M.2/WiFi/BT5.0/USB3.2/ATX Motherboard
  590$	Philips Curved MVA (328M6FJMB) 4ms 2560x1440 144Hz VGA HDMI DP SPK Monitor
  577$	HP Original (Q6461A) # 644A Cyan Toner Cartridge - 12,000 pages
  577$	HP Original (Q6462A) # 644A Yellow Toner Cartridge - 12,000 pages
  577$	HP Original (Q6463A) # 644A Magenta Toner Cartridge - 12,000 pages
  576$	HP Original (CB381A) # 824A Cyan Toner Cartridge - 21,000 pages
  576$	HP Original (CB382A) # 824A Yellow Toner Cartridge - 21,000 pages
  576$	HP Original (CB383A) # 824A Magenta Toner Cartridge - 21,000 pages
  575$	Intel (BX80684I78700K) CORE i7-8700K 3.70GHz 12MB Cache LGA1151 Coffee Lake Boxed CPU
